id,donation_id,blood_type,donor_name,donor_email,hospital_id,expiry_date,status,used_date,created_at,updated_at,reserved_for_request_id,fulfilled_request_id
1,,A+,Sample Donor 1,sample.donor 1@email.com,1,2025-09-26,Available,,2025-09-04 09:35:32.769465,2025-09-04 09:35:32.769465,,
2,,A+,Sample Donor 2,sample.donor 2@email.com,1,2025-09-20,Expired,,2025-09-04 09:35:32.777441,2025-09-04 09:35:32.777441,,
3,,A+,Sample Donor 6,sample.donor 6@email.com,1,2025-09-14,Used,,2025-09-04 09:35:32.778076,2025-09-04 09:35:32.778076,,
4,,A-,Sample Donor 2,sample.donor 2@email.com,1,2025-09-18,Available,,2025-09-04 09:35:32.778745,2025-09-04 09:35:32.778745,,
5,,A-,Sample Donor 2,sample.donor 2@email.com,1,2025-09-14,Available,,2025-09-04 09:35:32.779696,2025-09-04 09:35:32.779696,,
6,,A-,Sample Donor 2,sample.donor 2@email.com,1,2025-09-20,Available,,2025-09-04 09:35:32.780385,2025-09-04 09:35:32.780385,,
7,,A-,Sample Donor 5,sample.donor 5@email.com,1,2025-10-08,Used,,2025-09-04 09:35:32.781069,2025-09-04 09:35:32.781069,,
8,,A-,Sample Donor 2,sample.donor 2@email.com,1,2025-09-18,Available,,2025-09-04 09:35:32.781632,2025-09-04 09:35:32.781632,,
9,,B+,Sample Donor 3,sample.donor 3@email.com,1,2025-09-13,Available,,2025-09-04 09:35:32.782231,2025-09-04 09:35:32.782231,,
10,,B+,Sample Donor 3,sample.donor 3@email.com,1,2025-09-19,Used,,2025-09-04 09:35:32.782733,2025-09-04 09:35:32.782733,,
11,,B+,Sample Donor 6,sample.donor 6@email.com,1,2025-10-05,Used,,2025-09-04 09:35:32.783086,2025-09-04 09:35:32.783086,,
12,,B+,Sample Donor 3,sample.donor 3@email.com,1,2025-10-02,Available,,2025-09-04 09:35:32.783445,2025-09-04 09:35:32.783445,,
13,,B-,Sample Donor 4,sample.donor 4@email.com,1,2025-09-30,Available,,2025-09-04 09:35:32.783844,2025-09-04 09:35:32.783844,,
14,,B-,Sample Donor 4,sample.donor 4@email.com,1,2025-10-05,Available,,2025-09-04 09:35:32.784222,2025-09-04 09:35:32.784222,,
15,,B-,Sample Donor 6,sample.donor 6@email.com,1,2025-10-01,Available,,2025-09-04 09:35:32.784575,2025-09-04 09:35:32.784575,,
16,,AB+,Sample Donor 4,sample.donor 4@email.com,1,2025-09-19,Expired,,2025-09-04 09:35:32.784979,2025-09-04 09:35:32.784979,,
17,,AB+,Sample Donor 6,sample.donor 6@email.com,1,2025-09-10,Available,,2025-09-04 09:35:32.785309,2025-09-04 09:35:32.785309,,
18,,AB-,Sample Donor 3,sample.donor 3@email.com,1,2025-09-15,Available,,2025-09-04 09:35:32.785621,2025-09-04 09:35:32.785621,,
19,,AB-,Sample Donor 3,sample.donor 3@email.com,1,2025-09-24,Available,,2025-09-04 09:35:32.785917,2025-09-04 09:35:32.785917,,
20,,AB-,Sample Donor 2,sample.donor 2@email.com,1,2025-10-06,Available,,2025-09-04 09:35:32.786211,2025-09-04 09:35:32.786211,,
21,,AB-,Sample Donor 1,sample.donor 1@email.com,1,2025-10-06,Available,,2025-09-04 09:35:32.786632,2025-09-04 09:35:32.786632,,
22,,AB-,Sample Donor 6,sample.donor 6@email.com,1,2025-09-16,Available,,2025-09-04 09:35:32.787605,2025-09-04 09:35:32.787605,,
23,,O+,Sample Donor 1,sample.donor 1@email.com,1,2025-09-23,Available,,2025-09-04 09:35:32.788329,2025-09-04 09:35:32.788329,,
24,,O+,Sample Donor 4,sample.donor 4@email.com,1,2025-10-02,Available,,2025-09-04 09:35:32.789254,2025-09-04 09:35:32.789254,,
25,,O+,Sample Donor 1,sample.donor 1@email.com,1,2025-10-06,Available,,2025-09-04 09:35:32.789953,2025-09-04 09:35:32.789953,,
26,,O+,Sample Donor 6,sample.donor 6@email.com,1,2025-09-13,Available,,2025-09-04 09:35:32.790715,2025-09-04 09:35:32.790715,,
27,,O-,Sample Donor 3,sample.donor 3@email.com,1,2025-10-03,Available,,2025-09-04 09:35:32.791153,2025-09-04 09:35:32.791153,,
28,,O-,Sample Donor 1,sample.donor 1@email.com,1,2025-09-30,Expired,,2025-09-04 09:35:32.791527,2025-09-04 09:35:32.791527,,
29,,O-,Sample Donor 2,sample.donor 2@email.com,1,2025-10-04,Available,,2025-09-04 09:35:32.791883,2025-09-04 09:35:32.791883,,
30,,O-,Sample Donor 5,sample.donor 5@email.com,1,2025-09-22,Available,,2025-09-04 09:35:32.7922,2025-09-04 09:35:32.7922,,
31,,O-,Sample Donor 4,sample.donor 4@email.com,1,2025-10-01,Used,,2025-09-04 09:35:32.792492,2025-09-04 09:35:32.792492,,
32,,A+,Sample Donor 6,sample.donor 6@email.com,4,2025-10-06,Available,,2025-09-04 09:35:32.792868,2025-09-04 09:35:32.792868,,
