id,user_id,name,email,blood_type,location,status,notes,approved_by,approved_at,created_at
3,,Temp,t@gmail.com,O+,Kandy General Hospital,Approved,,,,2025-07-21 10:17:25.028173
2,,Temp,t@gmail.com,O+,,Declined,,,,2025-07-20 19:54:09.752073
1,,aa,a@gmail.com,O+,,Declined,,"",,2025-07-19 11:07:21.929429
4,,Temp,t@gmail.com,O+,Colombo National Blood Bank,Approved,,,,2025-07-21 11:18:27.766037
6,,Rithushi Rihara,rithu@gmail.com,B+,Kurunegala Hospital,Approved,,,,2025-07-22 11:22:23.893716
7,,Temp,t@gmail.com,O+,Colombo National Blood Bank,Approved,,,,2025-07-22 11:47:04.983406
5,,Temp,t@gmail.com,O+,Galle Teaching Hospital,Approved,,,,2025-07-21 12:03:52.728804
9,,Temp,t@gmail.com,O+,Kandy General Hospital,Approved,,,,2025-07-24 12:49:43.376868
10,,Temp,t@gmail.com,O+,Colombo National Blood Bank,Pending,,,,2025-07-24 21:29:05.847217
11,,Temp,t@gmail.com,O+,Jaffna Hospital,Pending,,,,2025-07-24 21:49:40.898125
12,,Temp,t@gmail.com,O+,Galle Teaching Hospital,Approved,,,,2025-07-24 23:44:54.875627
13,,Temp,t@gmail.com,O+,Badulla Hospital,Pending,,,,2025-07-27 15:47:07.29086
14,,Temp,t@gmail.com,O+,"",Pending,,,,2025-07-27 15:49:02.833431
16,,hello,avc@lk.lk,O-,"",Pending,,,,2025-08-18 22:56:02.038399
15,,hello,avc@lk.lk,O-,Kandy General Hospital,Approved,,,,2025-08-18 22:55:56.834469
8,,Temp,t@gmail.com,O+,Kandy General Hospital,Declined,,,,2025-07-24 10:19:43.184277
17,,hello,avc@lk.lk,O-,Kandy General Hospital,Approved,,,,2025-08-19 10:43:07.409934
18,,hello,avc@lk.lk,O-,Colombo National Blood Bank,Pending,,,,2025-08-20 06:25:13.067465
